Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Black,Midnight Edition,Four-wheel Drive,13–18,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AY2BB7P9831528,20270,10 mi.,2023 Nissan Armada SL,60532.0,$,https://www.cars.com/vehicledetail/1c77c1ec-4d65-4055-bb7e-b5702dd2494f/
Blue Metallic,Black,All-wheel Drive,19–25,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WP1AA2A51PLB08092,P23044,"8,792 mi.",2023 Porsche Macan Base,59990.0,$,https://www.cars.com/vehicledetail/5d137333-33d9-4500-b993-1d50a655a7c3/
Slate Blue Pearlcoat,Black,Four-wheel Drive,23–29,Gasoline,9-Speed Automatic,1.3L I4 16V GDI SOHC Turbo,ZACNJDE11PPP20260,21507,0 mi.,2023 Jeep Renegade Altitude,28032.0,$,https://www.cars.com/vehicledetail/09efbd7e-1b45-4260-a65f-289a8d2522b4/
Silver Zynith Clearcoat,Black,Four-wheel Drive,17–23,Gasoline,6-Speed Manual,3.6L V6 24V MPFI DOHC,1C4HJXDG6PW637644,100366,13 mi.,2023 Jeep Wrangler Sport,41875.0,$,https://www.cars.com/vehicledetail/4af5e37d-4973-436a-9c4a-a5e0ee4e3004/
Ebony Black,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DGC8PG409400,G409400,1 mi.,2023 Kia Telluride EX X-Line,48065.0,$,https://www.cars.com/vehicledetail/ef1d196d-8e79-4ee9-80d1-746a13c0506f/
Narvik Black,Ebony / Ebony,Four-wheel Drive,17–22,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,SALWR2SE2LA723991,GW6081A,"43,160 mi.",2020 Land Rover Range Rover Sport HSE Dynamic,60900.0,$,https://www.cars.com/vehicledetail/ea99a200-1706-412a-9d32-1dda85cce38a/
Gray,–,Front-wheel Drive,22–34,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,3FA6P0H76DR369237,65225A,"119,937 mi.",2013 Ford Fusion SE,7974.0,$,https://www.cars.com/vehicledetail/f8ec8576-01bd-4b02-9e4e-3cd8ed188235/
Silver,Black / Graphite,Four-wheel Drive,17–21,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR3E5165392,165392T,"194,394 mi.",2014 Toyota 4Runner Limited,20500.0,$,https://www.cars.com/vehicledetail/b85d7586-cb96-4f98-9b06-f1ffde1ab70c/
Fuji White,Pimento / Ebony,Four-wheel Drive,17–23,Gasoline,Automatic,V6,SALWV2SV6KA847210,22117G,"46,201 mi.",2019 Land Rover Range Rover Sport HSE Dynamic,48995.0,$,https://www.cars.com/vehicledetail/8840c4c6-8f90-4714-a554-331e6aad3161/
Navarra Blue Metallic,Beige,All-wheel Drive,100–89,Gasoline,7-Speed Automatic,Electric,WA112BFZ6NP015434,W19382,"5,497 mi.",2022 Audi Q4 e-tron 50 Prestige,48496.0,$,https://www.cars.com/vehicledetail/1d5a97bb-9201-4abf-a28a-b65501956d00/
Sage Gray,Gray,All-wheel Drive,19–27,Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,5NTJDDAF4PH046707,H29477,10 mi.,2023 Hyundai Santa Cruz 2.5T SEL Premium,35953.0,$,https://www.cars.com/vehicledetail/2226b965-8603-4a76-845e-123a817cbd0d/
Carbonized Gray Metallic,Black Onyx,Four-wheel Drive,–,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMDE5DHXPLB48001,21057,25 mi.,2023 Ford Bronco Outer Banks Advanced,57330.0,$,https://www.cars.com/vehicledetail/cf0f6693-939a-4478-b013-eae9b870b262/
Titanium Rush Metallic,Jet Black,Four-wheel Drive,15–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKD8PR504482,10994,–,2023 GMC Yukon SLT,74805.0,$,https://www.cars.com/vehicledetail/b0bd3b5e-e60c-4dce-b52f-cb240aba25bf/
Bright Silver Metallic,Charcoal,All-wheel Drive,22–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV4102PKXJ1343544,J1343544,"122,927 mi.",2018 Volvo XC90 T5 Momentum,22995.0,$,https://www.cars.com/vehicledetail/e9704813-2063-4c60-b060-8e019d8cc259/
White,–,Rear-wheel Drive,20–26,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,",WDD1K6FB3JF062376,232159,"30,081 mi.",2018 Mercedes-Benz E-Class E400 CONVERTIBLE,37990.0,$,https://www.cars.com/vehicledetail/dd236f41-e8f1-4b69-a0c6-4c553f4683a8/
Crystal White Metallic,Charcoal,All-wheel Drive,21–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,LVYA22MT2LP147388,LP147388,"36,501 mi.",2020 Volvo S90 T6 R-Design,36499.0,$,https://www.cars.com/vehicledetail/2ded5abb-9787-4e21-b2f0-a59193dc2684/
Blue,Ebony Black,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D86JGB50732,MP11188,"69,852 mi.",2018 Ford Explorer XLT,23784.0,$,https://www.cars.com/vehicledetail/00b3900f-7a54-4279-b558-cbbfa96b18b6/
Crystal Black Pearl,Gray,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H51HB055803,T49879A,"143,129 mi.",2017 Honda Pilot EX-L,16990.0,$,https://www.cars.com/vehicledetail/3828aaf8-b774-4f2b-accd-ca229b8c11a1/
Sublime Metallic Clearcoat,Black,Rear-wheel Drive,13–22,Gasoline,Automatic,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine",2C3CDZC96PH567503,J3486P,0 mi.,2023 Dodge Challenger SRT Hellcat,85740.0,$,https://www.cars.com/vehicledetail/1a38d797-3a5f-495b-b40b-41189c044264/
Mythos Black Metallic,Okapi Brown,All-wheel Drive,,,Automatic,Electric,WA15AAGE5RB028740,5211344,7 mi.,2024 Audi Q8 e-tron Premium,84380.0,$,https://www.cars.com/vehicledetail/d3a7b837-a734-48ab-a4a6-799045f13a6f/
Riverside Blue Metallic,Jet Black,Rear-wheel Drive,19–28,Gasoline,6-Speed Manual,3.6L V6 GDI DOHC,1G1FC1RS3P0148593,231674,–,2023 Chevrolet Camaro 3LT,37492.0,$,https://www.cars.com/vehicledetail/a3e2b05e-21ed-449a-a49f-08b3ade8d489/
Dark,Space Gray,Rear-wheel Drive,15–24,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FA6P8CF3R5406381,24018,10 mi.,2024 Ford Mustang GT Premium,54799.0,$,https://www.cars.com/vehicledetail/26d5e5ad-e8be-4a51-b745-492322a1bd9f/
Hydro Blue Pearlcoat,Steel Gray,Four-wheel Drive,16–23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C6JJTEGXPL573819,0-3303,12 mi.,2023 Jeep Gladiator Mojave,60607.0,$,https://www.cars.com/vehicledetail/b13fe99a-5d78-48cc-ac08-1bf8ee2dd083/
Black,Jet Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,2GC4YUE78R1138359,M240478,6 mi.,2024 Chevrolet Silverado 3500 LTZ,65945.0,$,https://www.cars.com/vehicledetail/ae0a1195-d74d-451e-8da9-3ce7e44c2bc7/
Fusion Red,–,All-wheel Drive,,,1-Speed Automatic,Electric,YV4ED3GM2P2049801,V1109,2 mi.,2023 Volvo C40 Recharge Pure Electric Twin Ultimate,62240.0,$,https://www.cars.com/vehicledetail/49bc3af0-ea94-41ba-adaf-935d450be9b5/
Shadow Black,Charcoal Black,All-wheel Drive,16–22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2FMHK6D87HBA01863,HBA01863,"95,707 mi.",2017 Ford Flex Limited,18324.0,$,https://www.cars.com/vehicledetail/2786b660-ad7c-43c0-b6d5-132cc3e0862d/
Gray Sky Pearl,Sport,Front-wheel Drive,27–37,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4CV6RN325207,N24056,10 mi.,2024 Nissan Altima 2.5 SR,33115.0,$,https://www.cars.com/vehicledetail/84b1b3c7-e6c2-4377-aebe-71ba6629c512/
Bright White Clearcoat,Black,Four-wheel Drive,21–29,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT2PN528899,30118,5 mi.,2023 RAM 1500 Limited,66995.0,$,https://www.cars.com/vehicledetail/ceac19c0-0a53-473d-9a60-c8bc0f0c6906/
Radiant Red Metallic II,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F54PB055300,35354,2 mi.,2023 Honda Ridgeline RTL,43895.0,$,https://www.cars.com/vehicledetail/8f54f8bd-b106-48b4-9523-d47544c7417a/
Blue Streak Pearlcoat,Black,Front-wheel Drive,19–29,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, VVT variable valve control, regular unl",1C3CDZBG2DN652096,CC0214,"143,435 mi.",2013 Dodge Avenger R/T,5988.0,$,https://www.cars.com/vehicledetail/c48b494d-fc7c-49da-8b1f-0b0b90aba3dd/
Black,Red,Four-wheel Drive,19–22,Hybrid,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,7SVAAABAXPX008482,4P7117,"9,436 mi.",2023 Toyota Sequoia TRD Pro,87500.0,$,https://www.cars.com/vehicledetail/5f57cb90-a927-4a2d-997e-9c08e127ae49/
Black Clearcoat,Black,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJXEG0MW570906,MW570906,"37,327 mi.",2021 Jeep Wrangler Unlimited Sahara,36977.0,$,https://www.cars.com/vehicledetail/eabfd805-305c-44c6-8144-83aba3f77324/
Octane Red Pearlcoat,Black,Rear-wheel Drive,15–24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ4PH589105,N232887,10 mi.,2023 Dodge Charger Scat Pack,53305.0,$,https://www.cars.com/vehicledetail/5753bdeb-7853-4362-9d43-ddc399b8e308/
Silver,–,All-wheel Drive,18–24,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo,WP1AB2A52MLB32460,D6185A,"13,069 mi.",2021 Porsche Macan S,57597.0,$,https://www.cars.com/vehicledetail/e2a88bb8-61b5-40aa-933f-1cb83209af28/
Barnato Green,Tan,All-wheel Drive,14–24,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SCBGH3ZA0HC061141,US061141,"21,253 mi.",2017 Bentley Continental GT V8 S,118888.0,$,https://www.cars.com/vehicledetail/38fd6092-5797-41f7-aaf0-b43047378828/
Amp'd,Black,Four-wheel Drive,17–21,Gasoline,6-Speed Manual,3.6L V6 24V MPFI DOHC,1C4BJWCG3EL169677,23T1329A,"73,458 mi.",2014 Jeep Wrangler Rubicon,24115.0,$,https://www.cars.com/vehicledetail/b6ba6f02-e2c0-4460-97f7-db982d6660eb/
Santorini Black,Ebony,All-wheel Drive,20–27,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SALZP2FX5PH232004,L23316,0 mi.,2023 Land Rover Range Rover Evoque SE,59355.0,$,https://www.cars.com/vehicledetail/ea33225f-ba8b-49cc-a69a-f4ff59b98cf4/
Sonic Gray Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F89PB053021,PB053021,20 mi.,2023 Honda Ridgeline Black Edition,48060.0,$,https://www.cars.com/vehicledetail/90fe8738-374e-459e-914e-dfec65d1b4d8/
Atlas,Black,All-wheel Drive,,,1-Speed Automatic,Electric,KM8KMDAFXNU051928,H23909,"5,583 mi.",2022 Hyundai IONIQ 5 SE,44990.0,$,https://www.cars.com/vehicledetail/fe65ad44-1f8c-458e-be0d-031ad8159f2c/
Carbonized Gray Metallic,Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTFW1E88NFC12758,22T505,"4,996 mi.",2022 Ford F-150 Lariat,60388.0,$,https://www.cars.com/vehicledetail/229af04b-ff7e-4bfb-af40-9163ad241d55/
Celestial Silver Metallic,Cement,RWD,19–24,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TYAZ5CN8PT038697,22401,5 mi.,2023 Toyota Tacoma SR5,37928.0,$,https://www.cars.com/vehicledetail/b53b85fa-1631-4da9-8487-5a4fdf38a398/
Platinum White Pearl,Red,Front-wheel Drive,21–28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,19UDE5G94RA000189,A10021,11 mi.,2024 Acura Integra Type S,52595.0,$,https://www.cars.com/vehicledetail/9b2cf222-c6f8-4c8a-b234-333a65f16f90/
Blue,Black,Front-wheel Drive,,,1-Speed Automatic,Electric,JTDBVRBD9KA006777,AB10935,"41,225 mi.",2019 Toyota Mirai Base,10999.0,$,https://www.cars.com/vehicledetail/102c1005-00b4-4e2e-9018-7a77e1f59ba6/
Brilliant Silver Metallic,Graphite,Front-wheel Drive,32–40,Gasoline,Automatic CVT,1.6L I4 16V MPFI DOHC,3N1CN8EV6PL873687,SH14321O,0 mi.,2023 Nissan Versa 1.6 SV,21015.0,$,https://www.cars.com/vehicledetail/8ae82379-21f7-4626-a9f7-4fd68cde42fb/
Iconic Silver Metallic,Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8W3BM2PEC77135,72523,7 mi.,2023 Ford F-350 Lariat Super Duty,88465.0,$,https://www.cars.com/vehicledetail/065aa458-617f-4818-ab19-e74233ecd610/
Brilliant Silver,Gray,Front-wheel Drive,24–26,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,3N6CM0KN9FK710247,710247,"85,821 mi.",2015 Nissan NV200 S,17995.0,$,https://www.cars.com/vehicledetail/9d768e3f-42f4-4025-a432-ce1c680cb31f/
Lunar Silver Metallic,Ebony,Front-wheel Drive,19–26,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD9H45PL004316,PL004316,"2,168 mi.",2023 Acura MDX Technology,55445.0,$,https://www.cars.com/vehicledetail/3ce83235-966f-42c3-b1ae-0d4f89563e8a/
Desert Sand Mica,Beige,Front-wheel Drive,30–38,Gasoline,4-Speed Automatic,1.8L I4 16V MPFI DOHC,1NXBR32E76Z641815,6641815,"212,268 mi.",2006 Toyota Corolla LE,4499.0,$,https://www.cars.com/vehicledetail/9101fe1f-c848-49bf-a4d3-43a522ed9ad9/
Shadow Black,Black Onyx,Four-wheel Drive,15–16,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1FMEE5JR4PLB90813,234243,0 mi.,2023 Ford Bronco Raptor,119995.0,$,https://www.cars.com/vehicledetail/a256f3b3-275f-4e99-89c6-dd6fa3a8019d/
Black,Black,All-wheel Drive,20–28,E85 Flex Fuel,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,WA1CFAFP5FA005164,FA005164T,"90,978 mi.",2015 Audi Q5 2.0T Premium,15467.0,$,https://www.cars.com/vehicledetail/8232206c-dc2e-4b61-860f-d20e9dbd39b1/
Bright White Clearcoat,Black,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJKEG5P8789585,C04577,2 mi.,2023 Jeep Grand Cherokee L Summit,60585.0,$,https://www.cars.com/vehicledetail/c8626c4c-4f16-428a-a958-e0b898f93bdf/
Moonbow Blue,Graphite,All-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI DOHC,5N1DL1GSXPC373105,I23223,5 mi.,2023 INFINITI QX60 SENSORY,60250.0,$,https://www.cars.com/vehicledetail/46844394-7f31-4ea7-bd2f-8403112094ff/
Storm Bay Metallic,Black,All-wheel Drive,25–34,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V PDI DOHC Turbo,WBX13EF00R5X71173,B43048,12 mi.,2024 BMW X1 M35i,57245.0,$,https://www.cars.com/vehicledetail/9da5030f-df28-4826-96ef-9d945ab67fc9/
Cayenne Orange Metallic,Jet Black,Front-wheel Drive,28–32,Gasoline,6-Speed Automatic,1.2L I3 12V GDI DOHC Turbo,KL77LJE29RC071356,RC071356,5 mi.,2024 Chevrolet Trax 2RS,26435.0,$,https://www.cars.com/vehicledetail/11ffea75-e541-4561-9bc8-e5ee0dc0cdec/
Hydro Blue Pearlcoat,Heritage Tan/Black,Four-wheel Drive,0–0,Gasoline,Manual,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",1C4HJXDG6PW631147,J3540,2 mi.,2023 Jeep Wrangler Sport S,48860.0,$,https://www.cars.com/vehicledetail/f8d29e89-da90-42de-8056-7308b71e138c/
Corris Grey,Ebony,Four-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALYL2RV5JA712769,MU1512BXA,"59,717 mi.",2018 Land Rover Range Rover Velar P380 SE R-Dynamic,35210.0,$,https://www.cars.com/vehicledetail/5926f909-9fe5-44b0-8d6f-ce4dc8685bcc/
Black,Black,Rear-wheel Drive,20–26,Gasoline,7-Speed Automatic with Auto-Shift,2.5L H4 16V GDI DOHC Turbo,WP0AB2A81HS285189,P109920,"4,277 mi.",2017 Porsche 718 Cayman S,75250.0,$,https://www.cars.com/vehicledetail/68e95cf9-fb8f-48b6-b2f2-95458ac241cb/
Silver,Charcoal,All-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV4062NZ4P1160515,IP7277,"25,489 mi.",2023 Volvo V90 Cross Country B6 Plus,55000.0,$,https://www.cars.com/vehicledetail/b46e701f-e1ce-404c-98d7-539032fa4d5a/
Solid Red,NISMO Black,Rear-wheel Drive,18–26,Gasoline,6-Speed Manual,3.7L V6 24V MPFI DOHC,JN1AZ4EH8CM560185,48276,"26,848 mi.",2012 Nissan 370Z NISMO,33995.0,$,https://www.cars.com/vehicledetail/953ac355-b3f4-41e5-a49a-768428b93732/
Mineral White Metallic,Cognac,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UX53DP04N9M67921,5205640,"6,268 mi.",2022 BMW X3 xDrive30i,44867.0,$,https://www.cars.com/vehicledetail/d20c06ca-d0a1-4d8a-8cc3-ae1633245709/
–,Black,All-wheel Drive,40–36,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTMEB3FV1PD148164,CTO230702,13 mi.,2023 Toyota RAV4 Prime XSE,49767.0,$,https://www.cars.com/vehicledetail/4d3d69cc-54c9-4b21-bbb5-60fd36ef1b3d/
Polar White,Black,All-wheel Drive,–,Gasoline,9-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,W1KAF8HB1PR136625,136625,6 mi.,2023 Mercedes-Benz AMG C 43 Base 4MATIC,65865.0,$,https://www.cars.com/vehicledetail/fa9097f0-6d16-4868-a411-f9f2b6c0b8c4/
Sterling,Black,Four-wheel Drive,18–20,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GTPUBEK6PZ208835,WJG122,2 mi.,2023 GMC Sierra 1500 SLE,48615.0,$,https://www.cars.com/vehicledetail/63572654-a54b-41dd-a9c5-4c86387d9cab/
Black,Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,1GCUDEET7NZ507552,P1947,"25,187 mi.",2022 Chevrolet Silverado 1500 RST,49875.0,$,https://www.cars.com/vehicledetail/dec39916-3b8a-4f56-92b0-35df9e469465/
Polar White,Black,Front-wheel Drive,24–34,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1N4N4GBXPJ513187,PJ513187,"4,767 mi.",2023 Mercedes-Benz GLA 250 Base,41610.0,$,https://www.cars.com/vehicledetail/9e47d47d-822f-4c53-96f1-07650f431dd6/
SVO Premium Palette Silver,Cirrus / Ebony,Four-wheel Drive,15–20,Gasoline,Automatic,V8,SALWZ2RE9LA729941,A729941,"29,017 mi.",2020 Land Rover Range Rover Sport 5.0L Supercharged SVR,83985.0,$,https://www.cars.com/vehicledetail/b48983ab-f459-470a-ac7b-eb1c15016e1a/
Delmonico Red Pearlcoat,Black,Four-wheel Drive,19–24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFJT6KN504334,504334,"87,510 mi.",2019 RAM 1500 Laramie,29905.0,$,https://www.cars.com/vehicledetail/2168504a-f622-414a-8c62-913be6fcd09f/
Granite Crystal Metallic Clearcoat,Black,Four-wheel Drive,10–14,Gasoline,Automatic,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine",1C6SRFU94PN572428,R1094,"1,779 mi.",2023 RAM 1500 TRX,102021.0,$,https://www.cars.com/vehicledetail/7be3341a-048c-456e-a8f7-dee3ecca997c/
Black Clearcoat,Black,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXDN7PW617966,JN6326,14 mi.,2023 Jeep Wrangler Sport,49430.0,$,https://www.cars.com/vehicledetail/896c1aa2-b28f-4fec-ad00-c7af090cc614/
Cloudburst Gray,Black,Front-wheel Drive,–,Gasoline,Automatic CVT,2.0L 16V DOHC,JTHX3JBH6N2053357,L0810,"8,305 mi.",2022 Lexus UX 200 UX 200,31996.0,$,https://www.cars.com/vehicledetail/289eadd3-d3d8-4f35-b119-58603abc6c9c/
Deep Blue Metallic,Black,All-wheel Drive,,,1-Speed Automatic,Electric,5YJ3E1EB1NF350129,B2320143B,"19,204 mi.",2022 Tesla Model 3 Long Range,37500.0,$,https://www.cars.com/vehicledetail/91102990-1257-4f05-847a-4f595cf639d2/
Santorini Black Metallic,Ebony,Four-wheel Drive,17–21.0,Gasoline,Automatic,"Ingenium 3L I-6 gasoline direct injection, DOHC, CVVL variable v",SALEPFEU8P2224348,R23330,7 mi.,2023 Land Rover Defender 130 SE,97551.0,$,https://www.cars.com/vehicledetail/a94a8626-5bd6-4c1f-bb49-1f1257e345c1/
White,–,Rear-wheel Drive,21–30,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,1G1FA1RX4G0170829,3204,"66,494 mi.",2016 Chevrolet Camaro 1LT,18999.0,$,https://www.cars.com/vehicledetail/46ac28cc-91c9-4747-9af6-e01f6687f878/
Night Blue Metallic,Graphite Blue,All-wheel Drive,19–24,Gasoline,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo,WP0CD2A96KS144928,13T02738,"40,259 mi.",2019 Porsche 911 Turbo,153888.0,$,https://www.cars.com/vehicledetail/1a67309e-8f30-4cb2-a501-af442204e659/
Ice,Black,All-wheel Drive,51–44,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDBDMHE2RJ004823,24T00450,1 mi.,2024 Toyota Corolla Hybrid LE,29221.0,$,https://www.cars.com/vehicledetail/983e7b9c-e770-4ddb-8944-765805ecf2de/
